Python,Java,C++,JavaScript,C#,PHP,Ruby,Swift,Go,Rust,Others,Software_Development_Experience,Database_Management,Networking_Skills,Web_Development_Experience,Communication_Skills,Problem_Solving_Abilities,Teamwork_Collaboration,Time_Management,Adaptability,GPA,Coursework_Completion_Status,Academic_Achievements,Personal_Interests,Internship_Experience,Certifications_Training,Leadership_Experience,Career_Goals
9,4,9,7,8,1,5,8,6,4,7,2,3,7,5,7,5,5,9,1,2.973938266060015,In Progress,Medium,CodingOthers,No,No,No,Data Scientist
7,7,4,8,8,9,5,2,8,0,3,8,9,2,1,3,4,5,6,7,3.9749848217628396,Completed,Medium,Reading,Yes,Yes,Yes,Quality Assurance Engineer
1,1,5,8,5,8,0,9,5,9,3,5,0,3,6,0,9,2,3,1,3.9749848217628396,In Progress,Medium,CodingOthers,No,No,No,Computer and Information Research Scientist
3,7,5,7,8,7,4,0,3,2,0,4,4,5,7,1,7,9,4,1,2.1469827147826477,Completed,Medium,Traveling,No,No,No,Research Scientist
6,9,2,8,4,4,6,3,9,0,3,6,2,9,7,2,6,1,3,3,2.1469827147826477,Completed,High,Gaming,Yes,Yes,Yes,Front End Developer
7,4,5,8,3,0,6,3,0,1,2,9,3,5,8,8,1,3,6,9,3.9749848217628396,In Progress,Medium,Sports,No,Yes,No,Computer and Information Research Scientist
6,9,8,2,7,1,1,1,8,1,3,9,8,9,0,1,9,1,0,7,3.9749848217628396,Completed,Medium,Gaming,No,No,No,IT Sales Professional
2,1,5,4,1,7,9,7,5,0,6,0,6,6,5,0,5,4,6,5,4.356164715027709,In Progress,High,CodingOthers,Yes,Yes,No,Computer Systems Manager
9,5,5,4,8,4,1,8,2,3,0,0,5,5,9,1,0,5,8,1,2.973938266060015,Completed,Medium,Traveling,Yes,No,No,Data Scientist
6,3,6,0,8,6,3,4,1,4,5,6,4,5,8,0,7,6,3,1,4.356164715027709,Completed,Medium,Reading,No,No,Yes,Machine Learning Engineer
8,2,1,3,1,4,4,8,1,5,4,0,4,8,8,2,6,3,3,4,2.973938266060015,In Progress,Medium,Traveling,No,Yes,No,Computer Systems Manager
2,3,8,6,9,1,1,8,7,0,3,3,0,5,1,1,7,0,4,6,2.1469827147826477,In Progress,Medium,Sports,Yes,Yes,Yes,Technical Writer
6,8,1,5,6,1,0,9,8,2,0,3,4,2,1,1,4,8,8,4,3.9749848217628396,Completed,High,Gaming,No,Yes,Yes,DevOps Engineer
1,3,7,0,4,9,6,0,8,7,7,1,2,8,2,4,1,4,3,2,2.973938266060015,Completed,Medium,CodingOthers,Yes,Yes,Yes,Embedded Systems Engineer
7,4,6,5,9,5,6,9,7,6,7,4,6,2,1,3,3,4,9,0,4.356164715027709,In Progress,Medium,Gaming,Yes,No,No,Computer Programmer
8,2,3,1,8,3,9,0,6,1,8,6,0,3,6,1,2,5,0,4,3.9749848217628396,Completed,Medium,Reading,Yes,Yes,No,Business Intelligence Analyst
3,6,2,7,9,7,0,6,1,9,8,6,1,3,6,3,8,0,4,5,3.9749848217628396,In Progress,Medium,CodingOthers,No,No,No,Computer Science Teacher
2,9,0,3,0,8,1,5,8,8,6,2,1,8,3,8,8,8,8,1,3.9749848217628396,In Progress,Medium,Sports,Yes,Yes,Yes,DevOps Engineer
2,4,4,6,4,3,1,7,1,6,0,8,0,2,1,0,9,5,2,9,2.1469827147826477,Completed,High,Traveling,Yes,No,No,IT Project Manager
5,4,1,0,1,7,2,1,0,4,7,1,6,9,2,7,7,4,1,0,2.973938266060015,Completed,High,CodingOthers,No,No,Yes,Computer Systems Manager
